BATCH,ACADEMIC YEAR,REGULATION,DEPARTMENT,SEM,COURSE CODE,COURSE NAME,CREDITS
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,IP3151,Induction Programme,0.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,HS3151,Professional English - I,4.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,MA3151,Matrices and Calculus,4.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,PH3151,Engineering Physics,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,CY3151,Engineering Chemistry,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,GE3151,Problem Solving and Python Programming,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,GE3152,தமிழர்மரபு / Heritage of Tamils,1.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,GE3171,Problem Solving and Python Programming Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,BS3171,Physics and Chemistry Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,1,GE3172,English Laboratory,1.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,HS3251,Professional English - II,4.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,MA3251,Statistics and Numerical Methods,4.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,BM3251,Biosciences for Medical Engineering,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,BE3251,Basic Electrical and Electronics Engineering,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,BM3252,Medical Physics,3.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,GE3251,Engineering Graphics,4.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,GE3252,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,GE3271,Engineering Practices Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,BM3271,Biosciences Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Biomedical Engineering,2,GE3272,Communication Laboratory / Foreign Language,2.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,MA3351,Transforms and Partial Differential Equations,4.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3353,Fundamentals of Electronic Devices and Circuits,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3301,Sensors and Measurements,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3352,Electric Circuit Analysis,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3351,Anatomy and Human Physiology,4.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,CS3391,Object Oriented Programming,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3361,Fundamentals of Electronic Devices and Circuits Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,BM3311,Sensors and Measurements Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,CS3381,Object Oriented Programming Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,3,GE3361,Professional Development,1.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,MA3355,Random Processes and Linear Algebra,4.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3491,Biomedical Instrumentation,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3402,Analog and Digital Integrated Circuits,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3451,Bio Control Systems,3.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3401,Signal Processing,4.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,GE3451,Environmental Sciences and Sustainability,2.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3411,Biomedical Instrumentation Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,BM3412,Analog and Digital Integrated Circuits Laboratory,1.5
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,SB8021,Network Essentials,2.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,SB8026,Robotic Process Automation Development,2.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,SB8024,Block Chain Development,2.0
2021 - 2025,2022 - 2023,2021,B.E. Biomedical Engineering,4,SB8025,Digital Marketing,2.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,BM3551,Embedded Systems and IoMT,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,BM3591,Diagnostic and Therapeutic Equipment,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,CBM351,Hospital Planning and Management,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,CBM355,Medical Imaging Systems,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,CBM339,Biomedical Optics and Biophotonics,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,MX3084,Disaster Risk Reduction and Management,0.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,SB3001,Project Based Experiential Learning Program,2.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,BM3562,Embedded systems and IOMT Laboratory,1.5
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,5,BM3561,Diagnostic and Therapeutic Equipment Laboratory,2.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,CS3491,Artificial Intelligence and Machine Learning,4.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,BM3651,Fundamentals of Healthcare Analytics,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,BM3652,Medical Image Processing,4.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,OEE351,Renewable Energy System,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,CBM337,Biomaterials,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,CBM340,Biometric Systems,3.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,MX3089,Industrial Safety,0.0
2021 - 2025,2023 - 2024,2021,B.E. Biomedical Engineering,6,NM1001*,4G/5G Communication Networks,2.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,GE3791,Human Values and Ethics,2.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,GE3751,Principles of Management,3.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,OEI352,Introduction to Control Engineering,3.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,OBT356,Lifestyle Diseases,3.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,BM3711,Hospital Training,2.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,7,NM1048*,Qunatum Computing with black opal,0.0
2021 - 2025,2024 - 2025,2021,B.E. Biomedical Engineering,8,BM3811,Project Work / Internship,10.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,IP3151,Induction Programme,0.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,HS3151,Professional English - I,4.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,MA3151,Matrices and Calculus,4.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,PH3151,Engineering Physics,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,CY3151,Engineering Chemistry,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,GE3151,Problem Solving and Python Programming,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,GE3152,தமிழர்மரபு / Heritage of Tamils,1.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,GE3171,Problem Solving and Python Programming Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,BS3171,Physics and Chemistry Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,1,GE3172,English Laboratory,1.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,HS3251,Professional English - II,4.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,MA3251,Statistics and Numerical Methods,4.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,PH3256,Physics for Information Science,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,BE3251,Basic Electrical and Electronics Engineering,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,GE3251,Engineering Graphics,4.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,CS3251,Programming in C,3.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,GE3252,தமிழரும் தொழில்நுட்பமும் / Tamils and Technology,1.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,GE3271,Engineering Practices Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,CS3271,Programming in C Laboratory,2.0
2021 - 2025,2021 - 2022,2021,B.E. Computer Science and Engineering,2,GE3272,Communication Laboratory / Foreign Language,2.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,3,MA3354,Discrete Mathematics,4.0
2021 - 2025,2022 - 2023,2021,B.E. Computer Science and Engineering,3,CS3391,Object Oriented Programming,3.0
